Treatment,ID,ww,dw,,,
Dry,2691,3.62,0.28,,,
Dry,2487,15.49,2.76,,,
Dry,2034,12.83,2.47,,,
Dry,2202,,,,,
Dry,2469,10.2,2.36,,,
Dry,2277,16.99,3.26,,,
Dry,3051,0.68,0.12,,,
Dry,2055,22.93,3.96,,,
Dry,2568,5.99,0.87,,,
Dry,2925,,,,,
Dry,2676,2.57,0.52,,,
Dry,2439,,,,,
Dry,2733,1.16,0,,,
Dry,2871,3.51,0.55,,,
Dry,3210,6.08,0.96,,,
Dry,2823,1.13,0.1,,,
Dry,3279,7.4,1.18,,,
Dry,2799,,0.09,,,
Dry,2748,,,,,
Dry,3225,3.18,0.55,,,
Dry,2031,,,,,
Dry,2139,1.07,0.01,,,
Dry,2679,1.71,0.11,,,
Dry,2160,4.02,0.58,,,
Dry,2934,5.3,0.8,,,
Dry,2844,5.26,0.71,,,
Dry,3393,9.53,1.82,,,
Dry,2700,10.19,1.85,,,
Dry,2280,15.35,2.95,,,
Dry,3147,3.68,0.8,,,
Dry,2916,3.94,0.51,,,
Dry,2088,3.07,0.34,,,
Dry,2832,3.56,0.44,,,
Dry,2817,5.18,0.72,,,
Dry,2583,7.34,1.25,,,
Dry,2478,1.88,0.88,,,
Dry,2703,7.61,1.54,,,
Dry,2244,,,,,
Dry,2025,,,,,
Dry,2121,4.12,0.36,,,
Dry,3057,3.23,0.42,,,
Dry,2940,1.97,0.38,,,
Dry,2667,8.25,1.41,,,
Dry,2790,3.74,0.76,,,
Dry,2424,10.44,1.82,,,
Dry,3423,7.76,1.36,,,
Dry,3081,4.15,0.48,,,
Dry,2409,10.58,1.92,,,
Dry,2058,12.31,2.14,,,
Dry,2100,5.82,0.86,,,
Dry,3318,5.37,0.81,,,
Dry,3369,4.78,0.88,,,
Dry,2664,,,,,
Dry,2040,16.97,3.12,,,
Dry,3399,12.42,2.07,,,
Dry,3354,4.34,0.7,,,
Dry,2904,2.27,0.3,,,
Dry,2523,15.25,2.56,,,
Dry,2301,15.12,2.68,,,
Dry,2019,,,,,
Dry,2079,5.88,0.9,,,
Dry,3420,,,,,
Dry,2550,8.49,1.42,,,
Dry,2538,9.26,1.7,,,
Dry,3129,,,,,
Dry,2826,5.08,0.65,,,
Dry,3033,6.62,1.02,,,
Dry,3087,,,,,
Dry,2610,7.33,1.15,,,
Dry,3351,,,,,
Dry,3384,7.85,1.37,,,
Dry,2589,8.97,1.68,,,
Dry,2838,3.51,0.31,,,
Dry,2148,2.97,0.41,,,
Dry,2745,,,,,
Dry,2037,17.52,2.97,,,
Dry,2997,8.92,1.53,,,
Dry,2511,14.99,3.06,,,
Dry,2889,5.36,0.83,,,
Dry,2130,1.18,0.05,,,
Dry,2616,2.16,0.35,,,
Dry,3012,4.16,0.71,,,
Dry,2175,5.35,0.79,,,
Dry,2358,8.24,1.7,,,
Dry,2820,4.18,0.51,,,
Dry,2985,12.16,2.17,,,
Dry,2895,5.98,1.11,,,
Dry,2436,12.51,2.31,,,
Dry,2304,13.48,2.36,,,
Dry,3381,9.12,1.4,,,
Dry,2856,3.24,0.38,,,
Dry,2943,2.89,0.47,,,
Dry,2505,14.17,2.51,,,
Dry,2865,5.1,0.86,,,
Dry,3108,6.78,1.23,,,
Dry,2391,17.9,3.07,,,
Dry,2913,6.45,1.01,,,
Dry,2112,5.5,0.71,,,
Dry,2052,20.56,4.19,,,
Dry,2517,18.34,3.55,,,
Dry,2673,6.22,0.94,,,
Dry,2685,,,,,
Dry,3360,6.45,1.04,,,
Dry,2796,6.45,0.97,,,
Dry,3396,11.04,2.04,,,
Dry,2868,3.1,0.55,,,
Dry,2949,8.5,1.11,,,
Dry,3132,4.49,0.79,,,
Dry,2319,12.68,2.36,,,
Dry,3009,5.98,1.23,,,
Dry,2427,9.79,1.73,,,
Dry,3321,5.44,0.77,,,
Dry,2172,,,,,
Dry,3177,,,,,
Dry,3327,5.87,0.87,,,
Dry,2910,,,,,
Dry,2988,3.09,0.35,,,
Dry,2850,4.78,0.78,,,
Dry,2241,,,,,
Dry,2595,4.07,0.7,,,
Dry,3432,10.79,1.99,,,
Dry,3408,5,0.68,,,
Dry,2382,14.37,2.68,,,
Dry,3411,9.17,1.4,,,
Dry,2565,7.74,1.21,,,
Dry,3189,7.9,1.34,,,
Dry,3135,4.62,0.52,,,
Dry,3429,8.59,1.79,,,
Dry,2763,4.33,0.7,,,
Dry,2475,7.37,1.66,,,
Dry,2721,,,,,
Dry,2811,3.84,0.48,,,
Dry,2814,3.14,0.32,,,
Dry,2979,16.11,2.56,,,
Dry,2562,7.98,2.95,,,
Dry,2529,18.9,3.51,,,
Dry,3039,4.38,0.47,,,
Dry,2874,4.8,0.65,,,
Dry,3303,4.69,0.67,,,
Dry,3357,11.45,2.17,,,
Dry,2457,18.53,3.12,,,
Dry,2253,14.2,2.98,,,
Dry,2670,4.89,0.58,,,
Dry,2094,18.13,3.77,,,
Dry,2274,,,,,
Dry,2307,16.94,3.27,,,
Dry,3159,5.14,0.97,,,
Dry,2400,13.13,2.35,,,
Dry,2739,2.66,0.35,,,
Dry,3402,8.52,1.44,,,
Dry,2211,,,,,
Dry,2544,10.13,1.55,,,
Dry,2787,,,,,
Dry,3186,1.48,1.26,,,
Dry,3084,,,,,
Dry,3306,7.99,1.59,,,
Dry,2163,2.4,0.07,,,
Dry,2862,,,,,
Dry,3297,3.48,0.47,,,
Dry,3414,6.79,0.99,,,
Dry,3375,10.35,1.83,,,
Dry,2421,8.06,1.39,,,
Dry,3435,12.92,2.73,,,
Dry,3264,,,,,
Dry,3117,1.3,0.69,,,
Dry,2499,12.61,2.34,,,
Dry,2493,5.75,1.25,,,
Dry,2760,7.31,1.15,,,
Dry,3048,3.11,0.41,,,
Dry,3207,,,,,
Dry,2853,6.08,1,,,
Dry,2571,10.13,1.81,,,
Dry,2964,4.35,0.62,,,
Dry,2043,15.92,2.97,,,
Dry,2355,3.19,0.61,,,
Dry,3192,3.54,0.56,,,
Dry,2697,10.67,2.1,,,
Dry,2118,4.78,0.6,,,
Dry,2415,12.24,2.53,,,
Dry,2907,5.3,0.98,,,
Dry,3315,5.14,0.88,,,
Dry,3378,3.68,0.64,,,
Dry,2406,12.62,2.77,,,
Dry,2388,7.63,1.25,,,
Dry,2682,,,,,
Dry,2283,16.41,3.12,,,
Dry,2619,1.41,0.14,,,
Dry,3324,9.42,1.44,,,
Dry,3171,,,,,
Dry,2352,,,,,
Dry,2490,11.03,2.04,,,
Dry,2472,8.76,1.69,,,
Dry,3285,9.5,1.62,,,
Dry,3054,5.23,0.57,,,
Dry,2076,6.77,0.92,,,
Dry,2022,6.78,1.88,,,
Dry,2496,16.86,3.65,,,
Dry,3363,,,,,
Dry,2805,6.62,0.88,,,
Dry,2955,,1.35,,,
Dry,3105,1.16,0.28,,,
Dry,2730,3.54,1.5,,,
Dry,2778,2.41,1,,,
Dry,3270,7.97,1.52,,,
Dry,2229,,,,,
Dry,3153,3.9,0.59,,,
Dry,3198,,0.55,,,
Dry,3342,4.77,0.77,,,
Dry,3138,7.71,1.45,,,
Dry,2340,1.9,0.05,,,
Dry,2442,23.58,4.51,,,
Dry,2847,,,,,
Dry,3228,2.32,0.14,,,
Dry,2067,,,,,
Dry,2238,,,,,
Dry,3165,,,,,
Dry,2784,3.72,0.79,,,
Dry,2586,4.72,0.77,,,
Dry,2892,8.4,1.47,,,
Dry,2262,12.32,2.15,,,
Dry,2220,2.39,0.56,,,
Dry,3078,5.43,0.78,,,
Dry,3156,,,,,
Dry,2715,6.14,1.25,,,
Dry,2655,,,,,
Dry,2445,18.31,3.56,,,
Dry,2646,1.61,0.59,,,
Dry,2430,13.44,2.34,,,
Dry,3216,8.8,1.48,,,
Dry,2334,8.57,1.29,,,
Dry,2154,,,,,
Dry,2394,15.49,2.53,,,
Dry,2433,13.33,2.85,,,
Dry,2142,3.02,0.41,,,
Dry,2196,,,,,
Dry,2835,7.25,1.38,,,
Dry,3126,2.48,0.44,,,
Dry,3000,3.75,0.92,,,
Dry,2397,14.07,2.57,,,
Dry,2268,11.61,2.02,,,
Dry,2652,,,,,
Dry,3174,4.25,0.57,,,
Dry,2532,5.08,0.72,,,
Dry,2742,1.96,0.19,,,
Dry,3252,10.34,2.1,,,
Dry,2574,4.71,1.13,,,
Dry,3282,9.34,1.28,,,
Dry,2631,2.23,0.52,,,
Dry,2325,0.83,-0.18,,,
Dry,2232,,,,,
Dry,2931,4.05,0.53,,,
Dry,2310,19.18,3.5,,,
Dry,3042,10.7,2.22,,,
Dry,2622,3.25,0.52,,,
Dry,3387,7.29,1.2,,,
Dry,2952,4.6,1.47,,,
Dry,2604,8.15,1.35,,,
Dry,2361,8.18,1.52,,,
Dry,2736,,,,,
Dry,2547,14.04,2.94,,,
Dry,2502,13.88,3.04,,,
Dry,2454,14.75,2.64,,,
Dry,2625,2.79,0.47,,,
Dry,2214,4.74,0.93,,,
Dry,2634,3.22,0.65,,,
Dry,2145,,,,,
Dry,2757,3.92,0.69,,,
Dry,2607,7.57,1.38,,,
Dry,2190,,,,,
Dry,2109,,,,,
Dry,2250,,,,,
Dry,2841,,,,,
Dry,3045,2.87,0.36,,,
Dry,2199,,,,,
Dry,2724,,,,,
Dry,2991,6.33,1.01,,,
Dry,2484,,,,,
Dry,3288,6.44,0.97,,,
Dry,3417,12.55,1.22,,,
Dry,3120,4.89,0.75,,,
Dry,3021,5.98,1.02,,,
Dry,2367,10.24,1.86,,,
Dry,2193,,,,,
Dry,2265,,,,,
Dry,2976,5.57,0.93,,,
Dry,2259,19.22,3.43,,,
Dry,3273,8.23,1.3,,,
Dry,2463,,2.12,,,
Dry,2643,1.96,0.19,,,
Dry,2481,14.9,2.88,,,
Dry,2880,8.84,1.64,,,
Dry,2091,7.81,1.12,,,
Dry,2073,,,,,
Dry,2637,,,,,
Dry,2628,1.33,0.02,,,
Dry,2802,2.33,0.27,,,
Dry,2064,22.88,3.83,,,
Dry,2694,,,,,
Dry,2184,,,,,
Dry,2709,3.9,0.49,,,
Dry,2169,,,,,
Dry,2097,14.12,2.64,,,
Dry,3018,6.32,0.97,,,
Dry,2640,3.77,0.57,,,
Dry,2286,9.14,1.62,,,
Dry,2103,12.77,2.23,,,
Dry,3246,8.41,1.5,,,
Dry,3300,10.22,1.84,,,
Dry,3330,4.44,0.58,,,
Dry,3249,5.56,0.9,,,
Dry,2349,8.01,1.21,,,
Dry,2535,,,,,
Dry,3162,1.27,0.88,,,
Dry,2001,9.25,1.3,,,
Dry,3111,4.83,0.74,,,
Dry,2106,17.32,3.39,,,
Dry,2553,15.04,2.97,,,
Dry,3336,11.68,2.14,,,
Dry,2712,,,,,
Wet,3144,9.21,1.54,,,
Wet,2370,13.33,2.37,,,
Wet,3066,4.42,0.55,,,
Wet,3141,5.33,0.73,,,
Wet,2928,6.09,0.71,,,
Wet,2157,,,,,
Wet,2520,19.22,3.78,,,
Wet,3243,5.43,1.12,,,
Wet,3003,6.9,0.91,,,
Wet,2994,9.01,1.33,,,
Wet,3426,11.03,2.3,,,
Wet,2859,,,,,
Wet,2919,6.12,0.8,,,
Wet,2601,22.22,3.86,,,
Wet,2208,,,,,
Wet,3114,7.51,1.2,,,
Wet,2061,,,,,
Wet,2727,8.09,1.26,,,
Wet,2289,15.87,3,,,
Wet,2808,9.14,1.43,,,
Wet,3030,5.35,0.87,,,
Wet,2688,12.63,2.72,,,
Wet,2115,,,,,
Wet,2328,,,,,
Wet,2343,,,,,
Wet,3345,,,,,
Wet,3438,2.28,0.18,,,
Wet,2526,,,,,
Wet,3069,12.11,1.87,,,
Wet,2613,,,,,
Wet,2346,10.1,1.51,,,
Wet,3072,3.99,0.5,,,
Wet,2514,15.8,2.86,,,
Wet,3150,,,,,
Wet,2166,5.92,0.97,,,
Wet,2592,15.05,2.9,,,
Wet,3222,,,,,
Wet,3234,9.63,1.72,,,
Wet,2049,49.02,8.77,,,
Wet,3036,5.89,0.82,,,
Wet,2781,6.22,1.05,,,
Wet,3213,13.7,2.05,,,
Wet,2070,,,,,
Wet,2295,,,,,
Wet,2706,16.11,2.9,,,
Wet,3261,14.98,2.64,,,
Wet,3405,13.08,1.94,,,
Wet,3201,6.69,1.52,,,
Wet,3063,7.32,0.97,,,
Wet,2508,14.84,2.63,,,
Wet,3090,,,,,
Wet,3291,12.42,2.17,,,
Wet,3240,4.86,1.01,,,
Wet,2376,,,,,
Wet,2337,,,,,
Wet,2958,8.71,1.31,,,
Wet,3231,6.8,1.18,,,
Wet,2883,8.12,1.41,,,
Wet,3075,5.53,0.59,,,
Wet,3294,19.47,3.44,,,
Wet,3123,2.49,0.28,,,
Wet,3390,13.65,2.39,,,
Wet,2886,,,,,
Wet,2247,,,,,
Wet,3060,,,,,
Wet,2205,,,,,
Wet,2403,26.4,4.06,,,
Wet,2322,15.41,2.86,,,
Wet,2373,20.5,3.55,,,
Wet,2082,,,,,
Wet,2451,31.15,5.45,,,
Wet,2967,16.62,2.91,,,
Wet,2577,21.24,3.9,,,
Wet,2970,10.77,1.71,,,
Wet,3333,14.69,2.48,,,
Wet,3339,,,,,
Wet,2385,17.21,3.14,,,
Wet,2136,,,,,
Wet,2292,37.09,7.4,,,
Wet,2151,4.45,0.68,,,
Wet,2223,,,,,
Wet,2769,14.23,2.76,,,
Wet,2580,10.41,1.66,,,
Wet,3015,5.56,0.67,,,
Wet,2982,11.85,2.02,,,
Wet,2298,33.17,6.42,,,
Wet,2271,24.03,4.65,,,
Wet,3312,5.55,0.97,,,
Wet,2013,18.74,3.24,,,
Wet,2004,19.9,3.87,,,
Wet,3027,7.91,1.08,,,
Wet,3195,4.45,0.63,,,
Wet,3093,,,,,
Wet,2178,,,,,
Wet,2016,20.46,3.68,,,
Wet,2379,,,,,
Wet,3102,,,,,
Wet,2718,17.27,3.24,,,
Wet,2946,6.12,1.24,,,
Wet,3183,12.67,2.31,,,
Wet,2658,,,,,
Wet,2226,,,,,
Wet,2922,5.19,0.54,,,
Wet,2973,5.99,0.85,,,
Wet,2877,7.48,1.35,,,
Wet,3006,5.41,1.12,,,
Wet,2754,,,,,
Wet,2331,,,,,
Wet,2124,1.59,-0.05,,,
Wet,2937,14.8,2.75,,,
Wet,2556,,,,,
Wet,3309,12.32,2.15,,,
Wet,2772,,,,,
Wet,2412,15.48,2.55,,,
Wet,2133,3.17,0.24,,,
Wet,2661,,,,,
Wet,3204,4.33,0.9,,,
Wet,3366,15.1,2.53,,,
Wet,2448,20.55,5.68,,,
Wet,2751,1.74,0.1,,,
Wet,2961,6.86,1.05,,,
Wet,2793,,,,,
Wet,3099,,,,,
Wet,2187,,,,,
Wet,2010,18.02,3.06,,,
Wet,2766,,,,,
Wet,3168,7.79,1.17,,,
Wet,2127,2.84,0.28,,,
Wet,3237,8.44,1.51,,,
Wet,2181,,,,,
Wet,2649,,2.94,,,
Wet,2418,16.1,2.76,,,
Wet,3219,7.5,1.12,Was written here (this value to the right potentially mistakes),9.62,1.7
Wet,2559,10.89,1.58,,,
Wet,3267,12.07,1.81,,,
Wet,2541,20.35,4.07,,,
Wet,2085,,,,,
Wet,2466,19.92,3.55,,,
Wet,3258,15.18,2.64,,,
Wet,2235,,,,,
Wet,3180,10.31,1.83,,,
Wet,3024,8.48,1.19,,,
Wet,3096,,,,,
Wet,2007,19.75,3.31,,,
Wet,2316,10.2,1.82,,,
Wet,2046,24.8,4.71,,,
Wet,3276,15.37,2.54,,,
Wet,2829,,,,,
Wet,2217,,,,,
Wet,2460,18.55,3.11,,,
Wet,2313,19.47,3.49,,,
Wet,2364,18.72,3.6,,,
Wet,2028,13.94,2.84,,,
Wet,2898,11.25,1.54,,,
Wet,2901,2.75,0.35,,,
Wet,3372,19.73,3.66,,,
Wet,2775,,,,,
Wet,2598,17.63,3.16,,,
Wet,2256,24.99,5.14,,,
Wet,3348,,,,,
Wet,3255,13.05,8.54,,,
Wet,2691,12.59,2,,,
Wet,2487,,,,,
Wet,2034,16.3,2.53,,,
Wet,2202,,,,,
Wet,2469,,,,,
Wet,2277,38.79,6.45,,,
Wet,3051,11.47,1.64,,,
Wet,2055,,,,,
Wet,2568,25.77,4.1,,,
Wet,2925,,,,,
Wet,2676,,,,,
Wet,2439,31.99,6.16,,,
Wet,2733,4.3,0.52,,,
Wet,2871,7.34,1.29,,,
Wet,3210,3.96,0.65,,,
Wet,2823,4.24,0.55,,,
Wet,3279,16.05,2.62,,,
Wet,2799,4.1,0.46,,,
Wet,2748,,,,,
Wet,3225,3.23,0.34,,,
Wet,2031,21.74,3.91,,,
Wet,2139,8.27,1.32,,,
Wet,2679,,,,,
Wet,2160,,,,,
Wet,2934,15.04,2.99,,,
Wet,2844,2.44,0.24,,,
Wet,3393,16.67,2.82,,,
Wet,2700,21.53,3.91,,,
Wet,2280,23.16,4.11,,,
Wet,3147,6.81,1.02,,,
Wet,2916,7.63,1.12,,,
Wet,2088,5.34,0.88,,,
Wet,2832,4.53,0.63,,,
Wet,2817,11.48,1.86,,,
Wet,2583,12.19,2.6,,,
Wet,2478,,,,,
Wet,2703,,,,,
Wet,2244,,,,,
Wet,2025,31.41,5.44,,,
Wet,2121,,,,,
Wet,3057,7.46,1.09,,,
Wet,2940,11.78,1.93,,,
Wet,2667,,,,,
Wet,2790,,,,,
Wet,2424,17.91,3.54,,,
Wet,3423,19.27,3.39,,,
Wet,3081,10.15,1.7,,,
Wet,2409,22.11,3.69,,,
Wet,2058,,,,,
Wet,2100,22.11,4.14,,,
Wet,3318,12.26,1.96,,,
Wet,3369,15.01,2.63,,,
Wet,2664,,,,,
Wet,2040,43.04,7.2,,,
Wet,3399,18.26,3.14,,,
Wet,3354,11.14,1.72,,,
Wet,2904,6.05,0.92,,,
Wet,2523,30.26,5.59,,,
Wet,2301,26.91,4.87,,,
Wet,2019,29.12,5.22,,,
Wet,2079,,,,,
Wet,3420,,,,,
Wet,2550,10.87,1.67,,,
Wet,2538,,,,,
Wet,3129,10.65,1.81,,,
Wet,2826,7.47,1.1,,,
Wet,3033,5.27,0.68,,,
Wet,3087,,,,,
Wet,2610,12.32,1.89,,,
Wet,3351,,,,,
Wet,3384,18.22,3.24,,,
Wet,2589,14.83,2.46,,,
Wet,2838,6.7,1.24,,,
Wet,2148,,,,,
Wet,2745,7.96,1.19,,,
Wet,2037,36.39,6.74,,,
Wet,2997,4.96,0.86,,,
Wet,2511,33.77,6.37,,,
Wet,2889,,,,,
Wet,2130,,,,,
Wet,2616,6.6,0.91,,,
Wet,3012,10.08,1.49,,,
Wet,2175,,,,,
Wet,2358,,,,,
Wet,2820,7.32,1.2,,,
Wet,2985,6.64,0.96,,,
Wet,2895,17.18,2.84,,,
Wet,2436,28.09,4.25,,,
Wet,2304,14.92,2.84,,,
Wet,3381,7.77,1.2,,,
Wet,2856,11.84,2.15,,,
Wet,2943,11.57,1.67,,,
Wet,2505,31.8,6.71,,,
Wet,2865,3.59,0.48,,,
Wet,3108,,,,,
Wet,2391,,,,,
Wet,2913,8.08,1.06,,,
Wet,2112,,,,,
Wet,2052,30.73,5.62,,,
Wet,2517,,,,,
Wet,2673,,,,,
Wet,2685,,,,,
Wet,3360,8.87,1.7,,,
Wet,2796,7.11,1.19,,,
Wet,3396,14.17,2.13,,,
Wet,2868,6.19,1.03,,,
Wet,2949,7.93,1.21,,,
Wet,3132,,,,,
Wet,2319,27.88,5.07,,,
Wet,3009,12.59,2.09,,,
Wet,2427,35.66,6.35,,,
Wet,3321,10.9,2.03,,,
Wet,2172,,,,,
Wet,3177,8.4,1.41,,,
Wet,3327,11.41,2.1,,,
Wet,2910,,,,,
Wet,2988,13.77,2.45,,,
Wet,2850,4.63,0.85,,,
Wet,2241,,,,,
Wet,2595,11.34,1.94,,,
Wet,3432,12.4,2.13,,,
Wet,3408,20.32,3.84,,,
Wet,2382,,,,,
Wet,3411,9.19,1.44,,,
Wet,2565,,,,,
Wet,3189,9.93,2.14,,,
Wet,3135,,,,,
Wet,3429,,,,,
Wet,2763,14.9,3.1,,,
Wet,2475,,,,,
Wet,2721,,,,,
Wet,2811,8.75,1.3,,,
Wet,2814,8.88,1.44,,,
Wet,2979,14.45,2.52,,,
Wet,2562,,,,,
Wet,2529,18.47,3.31,,,
Wet,3039,5.73,0.71,,,
Wet,2874,7.52,1.39,,,
Wet,3303,6.75,0.94,,,
Wet,3357,16.34,2.75,,,
Wet,2457,21.62,4.05,,,
Wet,2253,18.58,3.28,,,
Wet,2670,,,,,
Wet,2094,10.31,1.7,,,
Wet,2274,,,,,
Wet,2307,30.89,5.87,,,
Wet,3159,11.34,2.49,,,
Wet,2400,23.4,3.77,,,
Wet,2739,,,,,
Wet,3402,19.16,3.18,,,
Wet,2211,,,,,
Wet,2544,12.54,2.04,,,
Wet,2787,,,,,
Wet,3186,7.37,1.42,,,
Wet,3084,,,,,
Wet,3306,19.58,3.26,,,
Wet,2163,,,,,
Wet,2862,,,,,
Wet,3297,7.6,1.08,,,
Wet,3414,9.85,1.94,,,
Wet,3375,16.62,3.03,,,
Wet,2421,22.03,4.21,,,
Wet,3435,14.95,2.62,,,
Wet,3264,,,,,
Wet,3117,7.93,1.27,,,
Wet,2499,21.78,4.58,,,
Wet,2493,,,,,
Wet,2760,,,,,
Wet,3048,5.69,0.73,,,
Wet,3207,,,,,
Wet,2853,7.85,1.26,,,
Wet,2571,16.12,2.62,,,
Wet,2964,7.17,1.26,,,
Wet,2043,32.33,5.7,,,
Wet,2355,,,,,
Wet,3192,4.56,0.75,,,
Wet,2697,8.21,1.26,,,
Wet,2118,3.37,0.32,,,
Wet,2415,18.03,3.33,,,
Wet,2907,2.87,0.37,,,
Wet,3315,8.75,1.49,,,
Wet,3378,13.05,2.08,,,
Wet,2406,21.04,3.36,,,
Wet,2388,24.38,4.33,,,
Wet,2682,,,,,
Wet,2283,29.62,5.06,,,
Wet,2619,,,,,
Wet,3324,7.11,1.36,,,
Wet,3171,8.04,1.35,,,
Wet,2352,,,,,
Wet,2490,,,,,
Wet,2472,18.26,3.51,,,
Wet,3285,13.68,0.36,,,
Wet,3054,16.32,2.37,,,
Wet,2076,,,,,
Wet,2022,22.06,3.82,,,
Wet,2496,29.49,6.17,,,
Wet,3363,,,,,
Wet,2805,7.51,1.21,,,
Wet,2955,14.25,2.32,,,
Wet,3105,6.16,0.78,,,
Wet,2730,,,,,
Wet,2778,,,,,
